id,symbol,created_at,headline,source,n_symbols
100000,IRIS,2021-02-01T17:13:00+00:00,Iris Optics announces dividend hike and a new buyback program,synthetic,1
100001,JOLT,2021-02-01T17:35:00+00:00,Jolt Beverages cuts outlook as demand declines and an investigation weighs on shares,synthetic,1
100002,GALE,2021-02-01T18:15:00+00:00,Gale Airlines completes a previously announced facility relocation,synthetic,1
100003,GALE,2021-02-01T15:51:00+00:00,Gale Airlines schedules its quarterly earnings call date,synthetic,1
100004,DYNE,2021-02-01T15:15:00+00:00,Dyne Biolabs misses revenue estimates and warns of weak guidance,synthetic,1
100005,DYNE,2021-02-01T15:25:00+00:00,Dyne Biolabs tops quarterly profit estimates as revenue growth accelerates,synthetic,1
100006,CRUX,2021-02-01T20:00:00+00:00,Crux Semiconductors slumps on a profit warning and rising default risk,synthetic,1
100007,CRUX,2021-02-01T17:37:00+00:00,Crux Semiconductors cuts outlook as demand declines and an investigation weighs on shares,synthetic,1
100008,LUMN,2021-02-01T20:27:00+00:00,Lumen Softworks raises full-year guidance; analysts turn bullish,synthetic,1
100009,FLUX,2021-02-01T18:40:00+00:00,Flux Materials announces dividend hike and a new buyback program,synthetic,1
100010,BOLT,2021-02-01T17:28:00+00:00,Bolt Energy shares surge after upgrade to buy on strong demand,synthetic,1
100011,BOLT,2021-02-01T18:30:00+00:00,Bolt Energy to present at an industry conference next week,synthetic,1
100012,HALO,2021-02-01T19:47:00+00:00,Halo Health announces dividend hike and a new buyback program,synthetic,1
100013,ECHO,2021-02-01T18:46:00+00:00,Echo Networks schedules its quarterly earnings call date,synthetic,1
100014,ACME,2021-02-01T15:07:00+00:00,Acme Robotics cuts outlook as demand declines and an investigation weighs on shares,synthetic,1
100015,ACME,2021-02-01T17:35:00+00:00,"Acme Robotics faces a lawsuit and product recall, with layoffs expected",synthetic,1
100016,KILN,2021-02-01T18:23:00+00:00,Kiln Foods announces dividend hike and a new buyback program,synthetic,1
100017,KILN,2021-02-01T18:29:00+00:00,Kiln Foods raises full-year guidance; analysts turn bullish,synthetic,1
100018,CRUX,2021-02-02T17:11:00+00:00,Crux Semiconductors raises full-year guidance; analysts turn bullish,synthetic,1
100019,CRUX,2021-02-02T16:57:00+00:00,Crux Semiconductors tops quarterly profit estimates as revenue growth accelerates,synthetic,1
100020,HALO,2021-02-02T20:12:00+00:00,Halo Health to present at an industry conference next week,synthetic,1
100021,HALO,2021-02-02T14:40:00+00:00,Halo Health shares plunge after a downgrade on margin concerns,synthetic,1
100022,ECHO,2021-02-02T18:30:00+00:00,Echo Networks to present at an industry conference next week,synthetic,1
100023,BOLT,2021-02-02T17:26:00+00:00,Bolt Energy to present at an industry conference next week,synthetic,1
100024,BOLT,2021-02-02T20:16:00+00:00,Bolt Energy publishes its annual sustainability report,synthetic,1
100025,KILN,2021-02-02T15:43:00+00:00,Kiln Foods raises full-year guidance; analysts turn bullish,synthetic,1
100026,KILN,2021-02-02T17:51:00+00:00,Kiln Foods names a new chief operating officer,synthetic,1
100027,FLUX,2021-02-02T20:19:00+00:00,Flux Materials to present at an industry conference next week,synthetic,1
100028,DYNE,2021-02-02T16:48:00+00:00,Dyne Biolabs misses revenue estimates and warns of weak guidance,synthetic,1
100029,DYNE,2021-02-02T16:00:00+00:00,Dyne Biolabs shares plunge after a downgrade on margin concerns,synthetic,1
100030,GALE,2021-02-02T17:56:00+00:00,Gale Airlines to present at an industry conference next week,synthetic,1
100031,GALE,2021-02-02T17:24:00+00:00,Gale Airlines cuts outlook as demand declines and an investigation weighs on shares,synthetic,1
100032,LUMN,2021-02-02T14:43:00+00:00,Lumen Softworks to present at an industry conference next week,synthetic,1
100033,JOLT,2021-02-03T17:43:00+00:00,Jolt Beverages shares plunge after a downgrade on margin concerns,synthetic,1
100034,JOLT,2021-02-03T20:29:00+00:00,Jolt Beverages completes a previously announced facility relocation,synthetic,1
100035,CRUX,2021-02-03T14:36:00+00:00,Crux Semiconductors names a new chief operating officer,synthetic,1
100036,IRIS,2021-02-03T18:23:00+00:00,Iris Optics completes a previously announced facility relocation,synthetic,1
100037,IRIS,2021-02-03T19:35:00+00:00,Iris Optics misses revenue estimates and warns of weak guidance,synthetic,1
100038,KILN,2021-02-03T18:18:00+00:00,Kiln Foods announces dividend hike and a new buyback program,synthetic,1
100039,KILN,2021-02-03T17:37:00+00:00,Kiln Foods publishes its annual sustainability report,synthetic,1
100040,LUMN,2021-02-03T15:43:00+00:00,"Lumen Softworks wins major contract, boosting order backlog to a record",synthetic,1
100041,DYNE,2021-02-03T15:38:00+00:00,Dyne Biolabs tops quarterly profit estimates as revenue growth accelerates,synthetic,1
100042,FLUX,2021-02-03T19:42:00+00:00,Flux Materials names a new chief operating officer,synthetic,1
100043,HALO,2021-02-03T16:11:00+00:00,Halo Health tops quarterly profit estimates as revenue growth accelerates,synthetic,1
100044,HALO,2021-02-03T17:12:00+00:00,Halo Health names a new chief operating officer,synthetic,1
100045,ECHO,2021-02-03T20:12:00+00:00,Echo Networks slumps on a profit warning and rising default risk,synthetic,1
100046,GALE,2021-02-03T18:58:00+00:00,Gale Airlines completes a previously announced facility relocation,synthetic,1
100047,GALE,2021-02-03T17:06:00+00:00,Gale Airlines slumps on a profit warning and rising default risk,synthetic,1
100048,ACME,2021-02-03T18:48:00+00:00,Acme Robotics slumps on a profit warning and rising default risk,synthetic,1
100049,ACME,2021-02-03T16:03:00+00:00,Acme Robotics announces dividend hike and a new buyback program,synthetic,1
100050,ECHO,2021-02-04T14:52:00+00:00,Echo Networks tops quarterly profit estimates as revenue growth accelerates,synthetic,1
100051,LUMN,2021-02-04T19:24:00+00:00,Lumen Softworks names a new chief operating officer,synthetic,1
100052,ACME,2021-02-04T18:09:00+00:00,"Acme Robotics wins major contract, boosting order backlog to a record",synthetic,1
100053,ACME,2021-02-04T18:06:00+00:00,Acme Robotics misses revenue estimates and warns of weak guidance,synthetic,1
100054,JOLT,2021-02-04T15:19:00+00:00,"Jolt Beverages wins major contract, boosting order backlog to a record",synthetic,1
100055,KILN,2021-02-04T18:17:00+00:00,Kiln Foods shares plunge after a downgrade on margin concerns,synthetic,1
100056,KILN,2021-02-04T15:40:00+00:00,Kiln Foods misses revenue estimates and warns of weak guidance,synthetic,1
100057,HALO,2021-02-04T14:36:00+00:00,Halo Health misses revenue estimates and warns of weak guidance,synthetic,1
100058,HALO,2021-02-04T19:52:00+00:00,Halo Health completes a previously announced facility relocation,synthetic,1
100059,GALE,2021-02-04T19:59:00+00:00,Gale Airlines announces dividend hike and a new buyback program,synthetic,1
100060,GALE,2021-02-04T19:46:00+00:00,Gale Airlines completes a previously announced facility relocation,synthetic,1
100061,CRUX,2021-02-04T16:20:00+00:00,Crux Semiconductors schedules its quarterly earnings call date,synthetic,1
100062,CRUX,2021-02-04T17:09:00+00:00,Crux Semiconductors tops quarterly profit estimates as revenue growth accelerates,synthetic,1
100063,IRIS,2021-02-04T16:03:00+00:00,"Iris Optics wins major contract, boosting order backlog to a record",synthetic,1
100064,FLUX,2021-02-04T16:01:00+00:00,Flux Materials misses revenue estimates and warns of weak guidance,synthetic,1
